,,
State Code (FIPS),County Code (FIPS),Area Name (including legal/statistical area description)
01,000,Tuscumbia city
01,000,Tuskegee city
01,000,Twin town
01,000,Union town
01,000,Union Grove town
01,000,Union Springs city
01,000,Uniontown town
01,000,Valley city
01,000,Valley Grande city
01,000,Valley Head town
01,000,Vance town
01,000,Vernon city
01,000,Vestavia Hills city
01,000,Vina town
01,000,Vincent town
01,000,Vredenburgh town
01,000,Wadley town
01,000,Waldo town
01,000,Walnut Grove town
01,000,Warrior city
01,000,Waterloo town
01,000,Waverly town
01,000,Weaver city
01,000,Webb town
01,000,Wedowee town
01,000,West Blocton town
01,000,West Jefferson town
01,000,Westover town
01,000,West Point town
01,000,Wetumpka city
01,000,White Hall town
01,000,Wilsonville town
01,000,Wilton town
01,000,Winfield city
01,000,Woodland town
01,000,Woodstock town
01,000,Woodville town
01,000,Yellow Bluff town
01,000,York city
02,000,Alaska
02,013,Aleutians East Borough
02,016,Aleutians West Census Area
02,020,Anchorage Municipality
02,050,Bethel Census Area
02,060,Bristol Bay Borough
02,068,Denali Borough
02,070,Dillingham Census Area
02,090,Fairbanks North Star Borough
02,100,Haines Borough
02,105,Hoonah-Angoon Census Area
02,110,Juneau City and Borough
02,122,Kenai Peninsula Borough
02,130,Ketchikan Gateway Borough
02,150,Kodiak Island Borough
02,158,Kusilvak Census Area
02,164,Lake and Peninsula Borough
02,170,Matanuska-Susitna Borough
02,180,Nome Census Area
02,185,North Slope Borough
02,188,Northwest Arctic Borough
02,195,Petersburg Borough
02,198,Prince of Wales-Hyder Census Area
02,220,Sitka City and Borough
02,230,Skagway Municipality
02,240,Southeast Fairbanks Census Area
02,261,Valdez-Cordova Census Area
02,275,Wrangell City and Borough
02,282,Yakutat City and Borough
02,290,Yukon-Koyukuk Census Area
02,000,Adak city
02,000,Akhiok city
02,000,Akiak city
02,000,Akutan city
02,000,Alakanuk city
02,000,Aleknagik city
02,000,Allakaket city
02,000,Ambler city
02,000,Anaktuvuk Pass city
02,000,Anchorage municipality
02,000,Anderson city
02,000,Angoon city
02,000,Aniak city
02,000,Anvik city
02,000,Atka city
02,000,Atqasuk city
02,000,Barrow city
02,000,Bethel city
02,000,Bettles city
02,000,Brevig Mission city
02,000,Buckland city
02,000,Chefornak city
02,000,Chevak city
02,000,Chignik city
02,000,Chuathbaluk city
02,000,Clark's Point city
02,000,Coffman Cove city
02,000,Cold Bay city
02,000,Cordova city
02,000,Craig city
02,000,Deering city
02,000,Delta Junction city
02,000,Dillingham city
02,000,Diomede city
02,000,Eagle city
02,000,Edna Bay city
02,000,Eek city
02,000,Egegik city
02,000,Ekwok city
02,000,Elim city
02,000,Emmonak city
02,000,Fairbanks city
02,000,False Pass city
02,000,Fort Yukon city
02,000,Galena city
02,000,Gambell city
02,000,Golovin city
02,000,Goodnews Bay city
02,000,Grayling city
02,000,Gustavus city
02,000,Holy Cross city
02,000,Homer city
02,000,Hoonah city
